teks,label,sosmed
"@panggilaja.ioda jangan ah, kuatirnya Indonesia tambah gak karuan, ngeri lihat kasus pulau Rempang",Non-Kebencian,instagram
"@indri_naura16 betul, kayak kasus pulau Rempang.",Non-Kebencian,instagram
"Kebalik mbakyu, kliatan u yg kurang literasi",Non-Kebencian,instagram
"Aku baca komen2mu kayaknya kmu ada gangguan jiwa, kurang updated, kurang literasi,😂😂",Kebencian,instagram
"@ws.milax kenyataan yg berperan besar juga partai nya,",Non-Kebencian,instagram
@dira_fauzii Buseett.. Pengangguran nih pasti cewek. Komenan orang dibalesin semua 😂 Banyak banget waktu nganggur lu,Kebencian,instagram
@wawa_agust28 insya Alloh...doa yg terbaik az...siapa saja yg akan jdi pemimpin...,Non-Kebencian,instagram
GP Maniaaaa...Unk.Indonesia 1 2024_2029 🙌🙌🙌🙌🙌🙌,Non-Kebencian,instagram
Sdh teruji dlm segalanyaaaaaa👍👍👍👍👍👍👍👍👍,Non-Kebencian,instagram
"@afien_syarieff kyknya gt yaa, bagi2 minuman 🤔",Non-Kebencian,instagram
AMIT AMIT JABANG BAYI,Kebencian,instagram
Ini ga ada yang lain selain bertiga?,Kebencian,instagram
😂😂😂😂 @pdiperjuangan gak lalu.... tanda tanda bentar lagi ganti nama,Kebencian,instagram
Siapapun asal bukan anis amin,Kebencian,instagram
All in Pak PRABOWO SUBIANTO @prabowo,Non-Kebencian,instagram
Ngeri ya kalo sampai menang 😂,Kebencian,instagram
@putumisti pokok gak petugas partai,Kebencian,instagram
Senang yang bertangan besi ? Saya pilih yang seperti pak @jokowi saja.,Non-Kebencian,instagram
@afien_syarieff saya pdip tetap dukung anis,Non-Kebencian,instagram
@faik_rck saya pdip dukung anis,Non-Kebencian,instagram
@liebl141 pilih juga kalo bisa,Non-Kebencian,instagram
Yg satu di isi sama bapak madfud md trs satunya ridwan kamil udah pasti seru😂,Non-Kebencian,instagram
Asal bukan banteng,Kebencian,instagram
"Waahh.. Cb kamu tonton di mata najwa.. Pak prabowo disuruh ngobrol sendiri di kaca, tp ga mau, malah jwbannya menceng.. Trus, curhat ga pernah berkuasa selama 20 thn.. Halooo.. Kalo sampek berkuasa, mau jadi apa indonesia ini..?? Dia berkuasa utk perusahaannya sendiri.. Krn perusahaannya lg kolaps.. 🤦",Kebencian,instagram
@agungbap banteng juga ndak butuh orang model sampean kok,Kebencian,instagram
Ridwan Kamil dimasukkan dong 😍,Non-Kebencian,instagram
"Skip banteng, prabowo🔥",Kebencian,instagram
@stefkrist pertamina aja rugi,Non-Kebencian,instagram
"@sin_dau dlu pas sama mega,prabowo itu wakilnya bukan capres nya 🙌",Non-Kebencian,instagram
"@nadiramir point nya , kok niat gituloh bro maju terus dari dulu sampe skrg , aneh nya ga pernah menang .. 1x aja ga pernah menang .. entah mungkin ada yg salah atau gimana ..",Non-Kebencian,instagram
Maaf tapi saya harus netral paman 🙏🏻,Non-Kebencian,instagram
@hasbimahmuda iya juga gimana2 ngikut juragan,Kebencian,instagram
Saya pilih Prabowo aslinya pro Ganjar TPI knp harus nanteng,Non-Kebencian,instagram
Prabowo satu putaran! 🔥,Non-Kebencian,instagram
@faik_rck hanya anis di dalam ❤️,Non-Kebencian,instagram
All in prabowo,Non-Kebencian,instagram
@harridharray tembang kenagan donk,Non-Kebencian,instagram
Pak Anies TERBAIK ❤,Non-Kebencian,instagram
Yg lain lewat dulu.....wayahe PRABOWO PRESIDEN 2024 ❤️❤️❤️❤️❤️,Non-Kebencian,instagram
@starlaaa_hm dia belum tahu ahok puji ganjar karena bersih waktu kasus e ktp.. Bersih sama kayak ahok dan jokowi,Non-Kebencian,instagram
@starlaaa_hm betul.. Liat rekam jejak.. 🔥,Non-Kebencian,instagram
InsyaAllah Anies yg terbaik,Non-Kebencian,instagram
@bakul_hp_bekas_baru tolol nih org. Kwkw,Kebencian,instagram
Seluruh Jatim pilih prabowo,Non-Kebencian,instagram
"Haha menteri jokowi banyak jadi lawan ,pantes bobrok di priode ke 2😂😂😂",Kebencian,instagram
Kursi paling bnya.. korupnya jg paling…,Kebencian,instagram
@indri_naura16 jadi apa Indonesia tanpa adanya investor?🙄🙄 emang sudah se adi kuasa nya itu kah?,Non-Kebencian,instagram
"@starlaaa_hm betul, takut tragedi 98 terulang kembali😢 yg takut hanya WNI keturunan aja. Kalau yg pribumi mah aman",Kebencian,instagram
Butuh pemimpin bertangan besi dan yg tdk memanjakan rakyat??? Yakin kuat lu tong?? Ntar cengeng lagi😂,Non-Kebencian,instagram
@nophanophek malah bahas tanah dan rumah? Emang mau bikin perumahan??😂😂,Non-Kebencian,instagram
"@eryantoku kl sisi kadrun, mana ada etika boss, kekurangan akal sehat",Kebencian,instagram
Kita pabriknya saja dah bos😂,Non-Kebencian,instagram
@nomus191 GOBLOKAN RAIMU,Kebencian,instagram
Hati2 kalau suatu parpol berkuasa terlalu lama..seakan2 negara ini miliknya..rakyat nggak penting lagi..kembali era orde lama..saatnya perubahan 🇲🇨🇲🇨🇲🇨,Non-Kebencian,instagram
Tim prabowo❤️,Non-Kebencian,instagram
"@wawa_agust28 .. Betul, istilahnya disetir partai., keluguan jokowi n wakil nya makruf amin cuma buat cari masa aj",Kebencian,instagram
Milih Pak Prabowo silahkan... Milih Pak Anies silahkan.. Milih Pak Ganjar silahkan... Yang penting persatuan dijaga... ojo koyo bocah cilik,Non-Kebencian,instagram
"@r4shed_el_karaman wew yakin bgt bro,,,yg penting pemilu damai n rakyat bnyk yg mau datang k TPS buat memilih..nama nya pesta harus senang dan damai",Non-Kebencian,instagram
"Say mau pilih capres yg brani melegalkan perjudian sama rumah produksi film bokep,,,karena dr hasil pajak tersebut terserah mau dkorupsi..dr haram balik ke haram 😂😂😂.ato minimal ada capres yg brani kampanye,pilih saya pasti korupsi...tu baru special😂😂😂",Non-Kebencian,instagram
Aman aman dah ada gawang di PSI,Non-Kebencian,instagram
kerajaan kebohongn,Kebencian,instagram
Pendukung Anies mulai panik kepanasan 🤣🤣🤣,Kebencian,instagram
"Kirain pbb perserikatan bangsa bangsa, ternyata partai bulan bintang 😅😅",Non-Kebencian,instagram
Gerindra apa ga punya kader dari partainya sendiri yang kira2 mumpuni dan berkualitas,Non-Kebencian,instagram
"Bukan demi bangsa dan negara bos, tapi demi kepentingan pribadi kalian 😂😂",Kebencian,instagram
demi oligarki,Kebencian,instagram
@rizkygunawan95 udah dibilang analisis gue bener,Non-Kebencian,instagram
"Belom paslah, masih sangat belia masih jauuuuuhhhh",Kebencian,instagram
"Masih muda, puasin dulu, banyakin dulu",Kebencian,instagram
Bawa-bawa Allah loh😂,Kebencian,instagram
@a9amkupie hahaha kualitas narasi lo sama kaya isi otak lu,Kebencian,instagram
Ya ajaklah Gibran.. spy yg MUDA bisa membantu yg TUA.. takut di tengah jalan.. ada apa - apa dg kesehatan nya.. 😢😢,Kebencian,instagram
