before,after
gk,tidak
ga,tidak
gua,saya
gue,saya
pake,pakai
bgt,banget
liat,lihat
utk,untuk
yg,yang
jg,juga
lo,kamu
gak,tidak
gw,saya
krn,karena
trhdp,terhadap
trsbt,tersebut
slrh,seluruh
klo,kalau
skrg,sekarang
td,tadi
kpd,kepada
dr,dari
ato,atau
seneng,senang
tau,tahu
ngasih,kasih
kek,kaya
bln,bulan
hp,handphone
kls,kelas
kalo,kalau
sodara,saudara
emang,memang
tar,nanti
ntar,nanti
kmren,kemarin
bru,baru
udh,udah
dapet,dapat
bener,benar
bpk,bapak
kemaren,kemarin
mayan,lumayan
bini,istri
moga,semoga
msuk,masuk
sdh,sudah
bnyk,banyak
sapa,siapa
bs,bisa
gmn,bagaimana
mo,mau
hape,handphone
ttg,tentang
ilang,hilang
aplg,apalagi
brp,berapa
tp,tapi
karna,karena
daptar,daftar
no,nomor
jk,jika
ama,sama
abis,habis
pantes,pantas
aja,saja
rame,ramai
temen,teman
org,orang
shg,sehingga
jt,juta
wasap,whatsapp
olshop,online shop
sempet,sempat
nyolong,mencuri
msh,masih
inget,ingat
kagak,tidak
wa,whatsapp
notif,notifikasi
sertif,sertifikat
blom,belum
lemes,lemas
abang,kakak
mimin,admin
diem,diam
gini,begini
kl,kalau
bikin,buat
lelet,lambat
kmu,kamu
lu,kamu
jdi,jadi
dlm,dalam
kyknya,kayak
gt,gitu
trs,terus
sampai,coba
jwbannya,jawab
trus,terus
sampek,sampai
thn,tahun
ndak,tidak
sampean,kamu
gituloh,gitu
dlu,dulu
sampe,sampai
point,poin
kenagan,kenangan
donk,dong
wayahe,saatnya
tpi,tapi
knp,kenapa
liat,lihat
priode,periode
bnya,banyak
ojo,jangan
koyo,kayak
cilik,kecil
say,saya
dkorupsi,korupsi
kebohongn,bohong
pk,pak
pengakomodiran,akomodir
tinggkat,tingkat
matane,mata
kuatirnya,khawatir
gak,tidak
kliatan,kelihatan
ga,tidak
cb,coba
tp,tapi
lg,lagi
nanteng,banteng
liat,lihat
org,orang
jg,juga
bnya,banyak
tdk,tidak
ntar,nanti
kl,kalau
raimu,mukamu
aj,aja
ojo,jangan
koyo,kayak
cilik,kecil
bgt,banget
bnyk,banyak
brani,berani
dr,dari
ato,atau
kirain,ternyata
gue,saya
belom,belum
lo,kamu
spy,supaya
dg,dengan
hrusnya,harusnya
pk,pakai
jt,jitu
sma,sama
ama,sama
uda,udah
keliatan,kelihatan
udh,udah
mnding,mending
cma,cuma
rkyt,rakyat
kmren,kemarin
jdiin,jadikan
dgn,dengan
bgsa,bangsa
olh,oleh
jgn,jangan
blm,belum
matane,matanya
mihak,memihak
sy,saya
dewe,sendiri
nangun,bangun
dng,dengan
sing,yang
jd,jadi
gua,saya
no,tidak
knpa,kenapa
dri,dari
lgii,lagi
kbrpa,keberapa
cawaprez,cawapres
ngga,tidak
aneehhh,aneh
bwah,bawah
lgi,lagi
gw,saya
mmgnya,memangnya
klo,kalau
dpet,dapat
gmna,gimana
mmbantu,membantu
sodara,saudara
khidupan,kehidupan
pranowo,prabowo
cil,kecil
topic,topik
tanyain,tanyakan
kuliat,kulihat
gk,tidak
beneerr,benar
tgl,tanggal
mainnyaa,mainnya
kesian,kasian
pake,pakai
elu,kamu
laayak,layak
karnea,karena
penduking,pendukung
seneng,senang
tar,nanti
lanjot,lanjut
nyabutin,mencabut
junjunganny,junjungannya
wong,orang
ngamuk,mengamuk
brrti,berarti
tmui,menemui
abis,habis
ngeliat,melihat
kgk,enggak
skg,sekarang
jk,jika
drpd,daripada
sp,siapa
siapaa,siapa
tepatny,tepatnya
medeni,menakutkan
spt,seperti
wktu,waktu
dtg,datang
wktu,waktu
ktmu,ketemu
cemberuttt,cemberut
bgmna,bagaimana
bpk,bapak
ngmong,ngomong
kmrinn,kemarin
km,kamu
kpd,kepada
sya,saya
akn,akan
lingkaranya,lingkarannya
bljar,belajar
bhs,bahasa
jngat,jangan
kaliman,kalimat
dincari,dicari
kesalahanya,kesalahannya
sm,sama
menjabar,menjabat
bhw,bahwa
sj,saja
byk,banyak
anehh,aneh
mgkin,mungkin
gtu,gitu
ahirnya,akhirnya
takin,yakin
capt,cepat
nnti,nanti
datax,datanya
wes,sudah
bnyak,banyak
ndkung,mendukung
bljr,belajar
msh,masih
enegga,enggak
bya,banyak
pnya,punya
bnr,benar
syg,sayang
mon,mohon
maap,maaf
bagaimama,bagaimana
terbendumg,terbendung
gmn,gimana
gada,tidak ada
hoax,hoaks
hdeh,hadeh
dipeduliin,dipedulikan
seluryh,seluruh
pemimpinny,pemimpinnya
nyaranin,menyarankan
ampe,sampai
lbh,lebih
ntar,nanti
klah,kalah
dpt,dapat
ssya,saya
mqjilis,majelis
syamh,syam
kudu,harus
smua,semua
baauu,bau
bodok,bodoh
ora,bukan
klu,kalau
smoga,semoga
mrubah,merubah
trjdi,terjadi
bri,beri
pa,apa
mudah²an,mudah
mak,emak
buk,bu
mls,malas
ad,ada
ny,nya
kelen,kalian
smpe,sampai
muaaall,mual
soryy,sorry
ttp,tetap
da,ada
ummat,umat
smbil,sambil
hrus,harus
nti,nanti
naek,naik
aniz,anies
smbil,sambil
hrus,harus
nti,nanti
emak,emak
cih,
nee,
kmi,kami
seniur,senior
ngak,enggak
laen,lain
rakyak,rakyat
kyk,kayak
nantiny,nantinya
tuk,untuk
derama,drama
mabok,mabuk
sbg,sebagai
ank,anak
kemaran,kemarin
frp,
doktr,dokter
mkintdk,makin tidak
prpinsi,provinsi
mkin,makin
mluas,meluas
cawafres,cawapres
berrmain,bermain
nelikung,
blkg,belakang
bkn,bukan
krena,karena
harusx,harusnya
wapresx,wapresnya
punxa,punya
pndirian,pendirian
karkterx,karakternya
lskux,
wibawah,wibawa
dengirin,dengarin
rkyat,rakyat
pntar,pintar
prsiden,presiden
tmbah,tambah
prbowo,prabowo
wakilx,wakilnya
bida,bisa
trlalu,terlalu
drngerin,dengarin
mndingan,mendingan
ccokx,cocoknya
akui,
wkilx,wakilnya
jjaran,jajaran
gbran,gibran
politikx,politiknya
blum,belum
mpuh,mampu
pngikutx,pengikutnya
ccok,cocok
nda,tidak
pilihn,pilihan
tujuanya,tujuannya
dpat,dapat
katawa,ketawa
ketiwi,ketawa
yes,ya
ck,cak
timin,imin
mn,mana
stressss,stres
itilah,itulah
mantaaaap,mantap
biarkn,biarkan
kesalahn,kesalahan
mai,mau
prubahan,perubahan
mpertajam,mempertajam
katax,katanya
dijelekin,dijelekkan
pokoke,pokoknya
aniss,anis
idntitas,identitas
smpai,sampai
bgaimana,bagaimana
nt,nanti
wil,wilayah
kerna,karena
merelahkan,merelakan
partsinya,partainya
jga,juga
orgx,orangnya
aq,aku
slalu,selalu
njabat,menjabat
sdgkn,sedangkan
njowo,jawa
nang,ke
sedoyo,semuanya
ukoro,kalimat
bongso,bangsa
kawulo,saya
tonggo,tetangga
agomo,agama
manggon,menempati
ning,di
swargo,surga
neroko,neraka
yo,ya
tooo,
jng,jangan
btul,betul
mnjadi,menjadi
tammat,tamat
lbih,lebih
tampa,tanpa
cmn,cuman
mmg,memang
jln,jalan
rmh,rumah
orgnya,orangnya
partay,partai
abg,abang
pakelah,pakailah
abwasal,
sjarahnya,sejarahnya
biyaya,biaya
kampanya,kampanye
nyari,mencari
duite,uangnya
sopooo,siapa
pakek,pakai
jnjinya,janjinya
dkira,dikira
pengen,ingin
dibiyayai,dibiayai
mw,mau
jngn,jangan
krna,karena
dn,dan
orng,orang
prlu,perlu
guys,
tlg,tolong
hrs,harus
stlh,setelah
pd,pada
bs,bisa
mjd,menjadi
ttg,tentang
podo,sama
personal²nya,personal
nyusahin,menyusahkan
ngajak,mengajak
